Player,Elo,Hard Elo,Clay Elo,Grass Elo
Timea Babos,1476.9,1484.5,1381.3,1437.4
Olga Govortsova,1475.4,1451.9,1412.5,1514.2
Katarzyna Kawa,1473.6,1411.0,1423.8,1478.1
Valentini Grammatikopoulou,1471.6,1459.3,1398.0,1367.5
Nina Potocnik,1469.5,1401.2,1438.8,1409.7
Noma Noha Akugue,1468.4,1304.3,1514.5,1360.0
Dalila Jakupovic,1466.1,1428.0,1428.4,1455.5
Arina Rodionova,1463.5,1420.9,1299.6,1493.4
Polina Kudermetova,1463.0,1372.4,1461.7,1406.5
Arianne Hartono,1462.6,1430.3,1431.5,1383.8
Anastasia Kulikova,1461.5,1479.5,1468.6,1389.5
Rebecca Sramkova,1459.4,1429.5,1435.1,1420.6
Anastasia Zakharova,1458.5,1460.5,1299.0,1404.3
Renata Zarazua,1458.2,1409.0,1438.0,1363.0
Kurumi Nara,1458.2,1432.7,1439.9,1400.6
Ipek Oz,1454.6,1220.6,1437.2,1376.4
Mona Barthel,1453.8,1453.3,1453.2,1384.1
Jaimee Fourlis,1453.6,1364.7,1436.1,1421.6
Susan Bandecchi,1448.7,1367.8,1413.8,1344.7
Eva Vedder,1445.5,1355.1,1412.9,1397.7
Leyre Romero Gormaz,1445.2,1337.6,1424.5,1397.6
Despina Papamichail,1444.6,1418.8,1394.1,1363.5
Brenda Fruhvirtova,1444.3,1400.6,1397.0,1397.2
Lea Boskovic,1442.5,1464.1,1420.8,1433.6
Barbara Haas,1441.5,1399.3,1435.7,1406.2
Marina Melnikova,1441.3,1358.2,1408.8,1397.5
Asia Muhammad,1439.6,1411.8,1375.4,1348.6
Dominika Salkova,1438.5,1395.3,1392.7,1394.2
Audrey Albie,1438.2,1431.1,1308.6,1394.1
Stefanie Voegele,1435.8,1458.2,1370.8,1319.8
Natalia Vikhlyantseva,1435.2,1419.8,1393.8,1430.5
Cristiana Ferrando,1432.6,1369.6,1379.7,1425.6
Jana Fett,1431.7,1390.3,1333.0,1446.9
Georgina Garcia Perez,1428.2,1380.7,1421.4,1366.4
Suzan Lamens,1424.3,1323.3,1440.2,1331.9
Ellen Perez,1422.3,1403.5,1326.0,1358.1
Natalija Stevanovic,1421.0,1419.7,1316.8,1391.1
Yuki Naito,1420.9,1302.2,1434.2,1354.9
Anastasia Tikhonova,1419.9,1419.1,1329.7,1428.9
Victoria Duval,1415.7,1400.0,1398.7,1384.5
Lizette Cabrera,1415.6,1407.0,1320.1,1330.4
Lola Radivojevic,1413.5,1401.8,1401.5,1456.8
Veronika Erjavec,1413.5,1300.5,1413.5,1381.7
Yuliya Hatouka,1412.4,1377.4,1334.1,1343.1
Malene Helgo,1412.2,1462.0,1376.8,1456.1
Barbara Gatica,1411.3,1330.9,1388.7,1455.6
Nuria Brancaccio,1410.3,1320.1,1383.0,1380.1
